localidad,lat,lon,lluvia_mm
Bandera,-28.8878546,-62.2688764,44.2
Córdoba,-31.4201,-64.1888,12.5
Rosario,-32.9468,-60.6393,28.7
La Plata,-34.9205,-57.9536,67.8
Mendoza,-32.8895,-68.8458,5.3
Tucumán,-26.8083,-65.2176,33.1
Mar del Plata,-38.0055,-57.5426,89.4
Neuquén,-38.9517,-68.0591,8.2
Averías,-28.7462,-62.4499,50
Tomás Young,-28.5833,-62.1833,80
Tacanitas,-28.6247,-62.6041,50
Los Juríes,-28.4667,-62.1000,190
Guardia Escolta,-28.9880,-62.1337,40
Anatuya,-28.4667,-62.8333,70
Vilelas,-27.9619,-62.6104,52
Quimilí,-27.6450,-62.4135,34
Tobas,-28.0000,-62.3000,40
Tostado,-29.2292,-61.7717,30
Malbrán,-29.3466,-62.4325,30
Pinto,-29.1446,-62.6542,30
Villa Minetti,-28.6225,-61.6288,220
Santa Margarita,-28.3133,-61.5479,0
Coronel Du Graty,-27.6826,-60.9092,12
Villa Angela,-27.5768,-60.7111,10
Sáenz Peña,-26.7833,-60.4500,140
Avia Terai,-26.6904,-60.7309,135
Charata,-27.2167,-61.1833,20
Las Breñas,-27.0892,-61.0836,22
